project_id,description,location,contractor,cost,completion_date,report_contract_id,start_date,project_type,funding_year,report_year,region,lat,lng
P00620994LZ,"Construction of Flood Mitigation Facility/Drainage System along Loakan Airport, Sta. 0+000 - Sta. 0+815, Baguio City",BENGUET,A.R.J. CIVIL ENGINEERING CONSTRUCTION,16673974.44,2022-10-13,22PD0021,03/13/2022,Construction of Drainage Structure,2022,2022,Cordillera Administrative Region,16.37527222,120.6143
P00742142LZ,"Construction/Repair of Reinforced Concrete Slope Protection Structure along Sapangbalen Creek from Brgy. San Ildefonso to Brgy. Sta. Maria, Magalang, Pampanga",PAMPANGA,TRICHES CONSTRUCTION & TRADING / FRAMECON BUILDERS,69214730.8,2023-11-11,23CI0118,05/16/2023,Construction of Slope Protection Structure,2023,2023,Region III,15.256472,120.68766
P00632853LZ,"Construction of Reinforced Concrete Slope Protection Structure along Quitangil Creek, Station 15+169 to Station 15+887 (R/D), Barangay Mawaque, Mabalacat City, Pampanga",PAMPANGA,SAN SEBASTIAN CONSTRUCTION,19588065.3,2022-07-04,22CI0002,02/08/2022,Construction of Slope Protection Structure,2022,2022,Region III,15.2077261873033,120.61498290187
P00620176LZ,"Construction of Reinforced Concrete Slope Protection with Steel Sheet Piles Foundation along Abacan River, Brgy. Tabun to Capaya, Angeles City, Pampanga - Sta. 1+949 - Sta. 2+699",PAMPANGA,AL-B DEVELOPMENT CORPORATION,55968336.61,2022-09-11,22CI0013,02/25/2022,Construction of Slope Protection Structure,2022,2022,Region III,15.1540911114929,120.615142872222
P00742365LZ,"Construction of Reinforced Concrete Slope Protection along Sapang Balen River, Brgy. Sta. Maria, Magalang, Pampanga",PAMPANGA,M.C.J. VALENZUELA CONSTRUCTION ENTERPRISES,19721987.26,2023-09-10,23CI0132,05/24/2023,Construction of Slope Protection Structure,2023,2023,Region III,15.256472,120.68766
P00639459LZ,"Construction of Flood Control Structure at Besil, Tublay Central, Tublay, Benguet",BENGUET,TRIBAL MOVERS CONSTRUCTION,9789992.93,2022-12-22,22PF0088,06/14/2022,Construction of Flood Mitigation Structure,2022,2022,Cordillera Administrative Region,16.526482,120.615192
P00824800LZ,"Construction of Flood Control Riverbank Structure along Agno and Allied Rivers, Alcala, Pangasinan",PANGASINAN,SILVERWOLVES CONSTRUCTION CORPORATION,96499995.51,2024-07-31,24A00493,05/03/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,15.854602,120.539423
P00844764LZ,"Construction of Drainage at Sitio Cabio Bakal, Brgy. Sapalibutad, Angeles City, Pampanga",PAMPANGA,AL-B DEVELOPMENT CORPORATION,9797939.97,2024-08-27,24CI0069,04/02/2024,Construction of Drainage Structure,2024,2024,Region III,15.256472,120.68766
P00742353LZ,"Construction of Slope Protection along Porac River, Palat Section (Phase II), Porac, Pampanga",PAMPANGA,SIX SILVERS CONSTRUCTION AND DEVELOPMENT  CORP,24734901.6,2023-10-18,23CH0069,05/22/2023,Construction of Slope Protection Structure,2023,2023,Region III,15.03831,120.53944
P00838531LZ,"Construction of Reinforced Concrete Slope Protection Structure along (L/S) Sapangbalen Creek, Downstream of Barangay San Ildefonso, Magalang, Pampanga",PAMPANGA,TONKA CONSTRUCTION,48971773.59,2024-09-11,24CI0010,04/22/2024,Construction of Slope Protection Structure,2024,2024,Region III,15.25647,120.6877
P00525911LZ,"Construction of Kapangan Flood Control Sta. 8+241 - 8+374 (R.S.), Sta. 8+243 - 8+374 (L.S.),Kapangan, Benguet",BENGUET,FAMILY CIRCLE CONSTRUCTION,11489414.45,2022-12-02,21PF0030,03/13/2022,Construction of Flood Mitigation Structure,2021,2021,Cordillera Administrative Region,16.573964,120.615931
P00838358LZ,"Construction of Reinforced Concrete Slope Protection Structure along (R/S) Sapangbalen Creek (Downstream), Barangay San Ildefonso, Magalang, Pampanga",PAMPANGA,THREE-IN-ONE CONSTRUCTION & TRADING,86821821.41,2024-05-20,24CI0011,02/16/2024,Construction of Slope Protection Structure,2024,2024,Region III,15.25647,120.6877
P00742352LZ,"Construction of Slope Protection along Porac River, Palat Section (Phase I), Porac, Pampanga",PAMPANGA,SIX SILVERS CONSTRUCTION AND DEVELOPMENT  CORP,24738841.23,2023-10-18,23CH0068,05/22/2023,Construction of Slope Protection Structure,2023,2023,Region III,15.03926,120.5395
P00838362LZ,"Construction of Reinforced Concrete Slope Protection Structure along Sapang Balen Creek, Barangay San Ildefonso, Magalang, Pampanga",PAMPANGA,THREE-IN-ONE CONSTRUCTION & TRADING,77183078.33,2024-05-20,24CI0012,02/16/2024,Construction of Slope Protection Structure,2024,2024,Region III,15.25647,120.6877
P00639371LZ,"Rehabilitation of Dike along Parua River, Sta.6+675 to Sta.7+119 (Brgy. San Francisco Section, Left Bank), Concepcion, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,94533425.98,2022-09-25,22CK0097,03/26/2022,Rehabilitation / Major Repair of Flood Control Structure,2022,2022,Region III,15.2856,120.616
P00640528LZ,"Construction of Slope Protection along Tarlac River Control (Right Dike), Colibangbang Section (Package A), Colibangbang, Paniqui, Tarlac",TARLAC,HIGH STRENGTH DEV. CORPORATION / RCUBE ENGINEERING SERVICES,48511634.63,2022-09-24,22CJ0192,03/28/2022,Construction of Slope Protection Structure,2022,2022,Region III,15.636434,120.539669
P00621604LZ,"Construction of Flood Control Structure, Laoag River Basin and Sabo Flood Control Structure along Dongdong River (Right Bank), Barangay Acnam, Sitio Venus 2, Nueva Era, Ilocos Norte",ILOCOS NORTE,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,48249996.92,2023-03-15,22A00283,11/03/2022,Construction of Flood Mitigation Structure,2022,2022,Region I,17.923811,120.687932
P00742385LZ,"Construction of Covered Canal, Brgy. Natipuan, Nasugbu, Batangas",BATANGAS,816 EMBER CONSTRUCTION CORPORATION,4255760,2023-07-21,23DB0118,04/19/2023,Construction of Drainage Structure,2023,2023,Region IV-A,14.119808,120.61635
P00727141LZ,"Repair/Improvement of Reinforced Concrete Slope Protection along Sapang Balen Creek, Sitio Pitabacan, Brgy. San Ildefonso, Magalang, Pampanga",PAMPANGA,NEZIAH BUILDERS AND TRADING CORP.,26256800.55,2023-07-23,23CI0097,04/25/2023,Rehabilitation / Major Repair of Slope Protection Structure,2023,2023,Region III,15.256358,120.688036
P00737409LZ,"Rehabilitation of Drainage System, Barangay 14 San Gabriel II, Bacarra, Ilocos Norte",ILOCOS NORTE,ALTHEA CONSTRUCTION,4949912.02,2023-06-19,23AA0064,02/13/2023,Rehabilitation / Major Repair of Drainage Structure,2023,2023,Region I,18.253578,120.617172
P00726197LZ,"Construction of Slope Protection with Steel Sheet Pile Foundation along Tarlac River Control Left Dike, Brillante-Rang-Ayan Section (Package G), Rang-Ayan, Paniqui, Tarlac",TARLAC,A.C. SOLIVEN CONSTRUCTION & GENERAL MERCHANDISE,48141038.91,2023-07-18,23CJ0003,01/30/2023,Construction of Flood Mitigation Structure,2023,2023,Region III,15.63656944,120.539725
P00632773LZ,"Construction of Poblacion Flood Control Structure (Phase 2), Barangay Poblacion, La Paz, Abra",ABRA,ST. TIMOTHY CONSTRUCTION CORPORATION,49497500,2022-10-09,22PA0088,03/28/2022,Construction of Flood Mitigation Structure,2022,2022,Cordillera Administrative Region,17.670799,120.688261
P00736619LZ,"Construction of Slope Protection with Steel Sheet Pile Foundation along Tarlac River (Right Dike), Colibangbang to Rang-Ayan Section (Package A), Paniqui, Tarlac",TARLAC,J.H.R. ENTERPRISES,47530569.42,2023-05-24,23CJ0006,01/30/2023,Construction of Slope Protection Structure,2023,2023,Region III,15.63638889,120.539725
P00740630LZ,"Construction of Slope Protection Leoncia, Brgy. Sto. Domingo, Angeles City, Pampanga",PAMPANGA,THREE-IN-ONE CONSTRUCTION & TRADING,21061809.75,2023-08-13,23CI0128,05/16/2023,Construction of Slope Protection Structure,2023,2023,Region III,15.1446,120.6177
P00222127LZ,"Almacen River Improvement Project, Hermosa and Orani, Bataan",BATAAN,"TOKWING CONSTRUCTION, CORP.(FOR;  TOKWING CONSTRUC",136302210.19,2023-08-31,18C00035,02/26/2018,Construction of Flood Mitigation Structure,2018,2018,Region III,14.82,120.54
P00740634LZ,"Construction of Slope Protection at Brgy. San Nicholas, Angeles City, Pampanga",PAMPANGA,AL-B DEVELOPMENT CORPORATION,4887932.85,2023-07-20,23CI0137,05/22/2023,Construction of Slope Protection Structure,2023,2023,Region III,15.1446,120.6177
P00740632LZ,"Construction of Drainage along Brgy. Capaya, Angeles City, Pampanga",PAMPANGA,THREE-IN-ONE CONSTRUCTION & TRADING,4851646.26,2023-06-01,23CI0063,04/03/2023,Construction of Drainage Structure,2023,2023,Region III,15.14459,120.617745
P00740366LZ,"Construction of Slope Protection along Alasas Creek, Barangay San Pedro II, Barangay Sta. Cruz and Barangay San Agustin, Magalang, Pampanga",PAMPANGA,THREE-IN-ONE CONSTRUCTION & TRADING,67419722.43,2023-11-19,23CI0125,05/24/2023,Construction of Slope Protection Structure,2023,2023,Region III,15.219318,120.68903
P00632774LZ,"Construction of Poblacion Flood Control Structure (Phase 3), Barangay Poblacion, La Paz, Abra",ABRA,ST. TIMOTHY CONSTRUCTION CORPORATION,49497500,2022-11-10,22PA0089,03/30/2022,Construction of Flood Mitigation Structure,2022,2022,Cordillera Administrative Region,17.673113,120.689375
P00561806LZ,"Construction of Flood Control, Brgy. San Luis, Mamburao, Occidental Mindoro",OCCIDENTAL MINDORO,"ORIENT STAR CONSTRUCTION, INC. (FORMERLY: ORIENT S",2450991.9,2022-10-24,21EB0139,04/08/2022,Construction of Flood Mitigation Structure,2021,2021,Region IV-B,13.255189,120.618106
P00824830LZ,"Construction of Flood Control Structure along Abra River, Upstream and Down Stream of Quirino Bridge, Quirino, Ilocos Sur (Phase 1)",ILOCOS SUR,A.I.P. CONSTRUCTION,157294568.63,2025-01-07,24A00008,02/26/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,17.14036306,120.6893996
P00632805LZ,"Construction of Drainage Canal, Barangay Lalawigan, Samal, Bataan",BATAAN,PASCAL CONSTRUCTION,9899999.99,2022-07-14,22CA0014,02/17/2022,Construction of Drainage Structure,2022,2022,Region III,14.7833239,120.540744
P00632770LZ,"Construction of Mudeng Flood Control Structure (Phase 3), Barangay Mudeng, La Paz, Abra",ABRA,739 BUILDERS,49497500,2022-12-05,22PA0099,05/24/2022,Construction of Flood Mitigation Structure,2022,2022,Cordillera Administrative Region,17.627929,120.618224
P00620248LZ,"Construction of Riverbank Protection along Palico River, Nasugbu, Batangas",BATANGAS,V.R. PATRON BUILDERS & DEVELOPERS CORP. (PREVIOUSL,77200000,2022-11-18,22DB0021,02/23/2022,Construction of Flood Mitigation Structure,2022,2022,Region IV-A,14.045285,120.689476
P00621459LZ,"Construction of Slope Protection along Sapangbato River Sta. 0+649 to Sta. 1+149, Barangay Margot, Angeles City, Pampanga",PAMPANGA,NES-SAN BUILDERS,24482452.91,2022-10-06,22CI0115,03/24/2022,Construction of Slope Protection Structure,2022,2022,Region III,15.1667383430086,120.541358352094
P00838481LZ,"Construction of Drainage, Barangay 12, Bacarra, Ilocos Norte",ILOCOS NORTE,CAMBONG-BUILDERS INDUSTRIAL FACILITIES CONSTRUCTION,4899380.88,2024-05-07,24AA0201,02/16/2024,Construction of Drainage Structure,2024,2024,Region I,18.24995,120.618319
P00824747LZ,"Construction of Protection Dike at Barangay Talabaan, Mamburao, Occidental Mindoro",OCCIDENTAL MINDORO,KGB ENGINEERING AND CONSTRUCTION,4870149.83,2024-05-21,24EB0076,03/06/2024,Construction of Flood Mitigation Structure,2024,2024,Region IV-B,13.152207,120.689605
P00740369LZ,"Construction of Slope Protection with Steel Sheet Pile Foundation Along Tarlac River Control Right Dike, Colibangbang Section (Package H), Barangay Colibangbang, Paniqui, Tarlac",TARLAC,A.C. SOLIVEN CONSTRUCTION & GENERAL MERCHANDISE,77199671.49,2023-11-16,23CJ0073,04/12/2023,Construction of Flood Mitigation Structure,2023,2023,Region III,15.63435556,120.5414583
P00621610LZ,"Construction of Flood Control Structure, Laoag River Basin and Sabo Flood Control Structure along Lading River, Barangay Caray, Sitio Lading 1, Nueva Era, Ilocos Norte",ILOCOS NORTE,DJCM CONSTRUCTION CORPORATION (FORMERLY: DJCM CONSTRUCTION),48999997.76,2022-10-13,22AB0098,03/25/2022,Construction of Flood Mitigation Structure,2022,2022,Region I,17.940595,120.6902
P00742316LZ,"Construction of Concrete Revetment along Cupang West Creek, Barangay Cupang West, Balanga City, Bataan",BATAAN,VF CONSTRUCTION,6784428.58,2023-07-05,23CB0054,04/05/2023,Construction of Revetment,2023,2023,Region III,14.670832,120.541779
P00820672LZ,"Construction of Flood Control Structure along Barangay Buyon and Barangay Pasiocan, Bacarra, Ilocos Norte",ILOCOS NORTE,BJMJB CONSTRUCTION & SUPPLY,29399860.43,2024-04-16,24AA0075,02/12/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,18.243636,120.618333
P00639483LZ,"Construction of Sagrada Concrete Sea Wall Protection, Barangay Sagrada, Masantol, Pampanga",PAMPANGA,N-22 CONSTRUCTION AND TRADING,18541526.13,2022-08-17,22CG0129,05/20/2022,Construction of Slope Protection Structure,2022,2022,Region III,14.836959,120.690562
P00640499LZ,"Construction of Sugpon River Control, Sugpon, Ilocos Sur",ILOCOS SUR,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,19799998.32,2023-08-29,22AD0082,04/04/2022,Construction of Flood Mitigation Structure,2022,2022,Region I,16.78948,120.541943
P00631259LZ,"Construction of Slope Protection Structure along Quitangil Creek, Sta. 26+880 - Sta. 28+699 (R/D), Mabalacat City, Pampanga",PAMPANGA,L.S.D.  CONSTRUCTION & SUPPLIES / PRIME PAVE CONSTRUCTION AND ASPHALT CORPORATION,47450440.65,2022-10-01,22CI0010,02/08/2022,Construction of Slope Protection Structure,2022,2022,Region III,15.2083688350116,120.61836409384
P00620998LZ,"Construction of Flood Mitigation Structure within Agno River Basin: along Agno River Section 11 (Mambolo Bridge), Poblacion, Itogon, Benguet",BENGUET,GSIXTY CONSTRUCTION SERVICES,24500000,2023-03-15,22PE0001,05/10/2022,Construction of Flood Mitigation Structure,2022,2022,Cordillera Administrative Region,16.383446,120.690932
P00526052LZ,"Rehabilitation of Flood Control Structures along Tarlac River Control Left Dike, Sembrano-Sta. Lucia Section (Phase III), Gerona, Tarlac",TARLAC,ARCONIC INC.,13967566.61,2022-07-24,21CJ0007,03/28/2022,Rehabilitation / Major Repair of Flood Control Structure,2021,2021,Region III,15.613498,120.542307
P00725583LZ,"Construction of Flood Control Structure Barangay Camandingan, Batac City, Ilocos Norte",ILOCOS NORTE,MEGAPOLITAN BUILDERS AND CONSTRUCTION SUPPLY,11579999.2,2023-07-11,23A00141,03/03/2023,Construction of Flood Mitigation Structure,2023,2023,Region I,18.07105,120.61883
P00726184LZ,"Construction of Flood Mitigation Structure along Quitangil River, Sta. 8+750 - Sta. 10+658 (R/S), San Agustin, Magalang, Pampanga",PAMPANGA,RADIANS BUILDERS AND SUPPLY CORPORATION,48940091.64,2023-09-15,23CI0025,03/20/2023,Construction of Flood Mitigation Structure,2023,2023,Region III,15.232769,120.691127
P00637076LZ,"Construction of Slope Protection along Sapangbato River, Sta. 1+149 to Sta. 1+649, Barangay Margot, Angeles City, Pampanga",PAMPANGA,RADIANS BUILDERS AND SUPPLY CORPORATION,24475221.98,2022-11-11,22CI0128,05/24/2022,Construction of Slope Protection Structure,2022,2022,Region III,15.165975,120.543229
P00639320LZ,"Construction of Flood Control Structure, Barangay Mudeng, La Paz, Abra",ABRA,MG SAMIDAN CONSTRUCTION / RM30 PSG CONSTRUCTION CORPORATION,95238758.44,2023-09-29,22PA0337,12/28/2022,Construction of Flood Mitigation Structure,2022,2022,Cordillera Administrative Region,17.627037,120.619805
P00742340LZ,"Construction of Slope Protection in San Fernando City, Pampanga",PAMPANGA,EL KAPITAN CONSTRUCTION SERVICES,9602952.08,2023-12-28,23CG0221,07/05/2023,Construction of Slope Protection Structure,2023,2023,Region III,15.03315,120.69163
P00823319LZ,"Construction of Buli Flood Control Structure, Buli, La Paz, Abra",ABRA,MG SAMIDAN CONSTRUCTION,96497500.15,2024-09-16,24PA0060,02/19/2024,Construction of Flood Mitigation Structure,2024,2024,Cordillera Administrative Region,17.67493,120.692
P00848617LZ,"Construction of Bank Protection Works at Joven Street, Brgy. Babo Sacan, Porac, Pampanga",PAMPANGA,V. TRILLANA BUILDERS & TRADING,4945000,2024-05-22,24CH0074,04/08/2024,Construction of Flood Mitigation Structure,2024,2024,Region III,15.0667,120.54349
P00846008LZ,"Construction of Slope Protection in Brgy. Sto. Domingo, Angeles City Pampanga",PAMPANGA,AYANA CONSTRUCTION AND TRADING,9885415.68,2024-07-27,24CI0076,04/02/2024,Construction of Slope Protection Structure,2024,2024,Region III,15.1498910095605,120.62011821259
P00824695LZ,"Construction of Flood Control Structure along Talisay River (3+552- 3+677), Balanga City, Bataan",BATAAN,POLYMER-VIC CONSTRUCTION,39200000,2025-02-13,24CB0064,05/14/2024,Construction of Flood Mitigation Structure,2024,2024,Region III,14.67559167,120.5436
P00632772LZ,"Construction of Patagui Flood Control, Poblacion, La Paz, Abra",ABRA,ST. TIMOTHY CONSTRUCTION CORPORATION,49497515.89,2022-12-08,22PA0085,03/28/2022,Construction of Flood Mitigation Structure,2022,2022,Cordillera Administrative Region,17.677199,120.692428
P00726054LZ,"Construction of Flood Control Structure along Tagamusing River, Sta. 0 + 000 - Sta. 1 + 266, Barangay Mangcasuy, Binalonan, Pangasinan (Package 1)",PANGASINAN,W.J.P. CONSTRUCTION AND SUPPLY,48900255.04,2023-06-06,23AI0012,02/10/2023,Construction of Dike,2023,2023,Region I,16.07806,120.6208
P00621282LZ,"Construction of Slope Protection Structure along Moriones - Tarlac River Control (Package A), Balanti Section, Balanti, Tarlac City, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP. / GJE BUILDERS CORPORATION (FORMERLY: GJE BUILDERS),93605000,2022-09-12,22CJ0183,03/30/2022,Construction of Slope Protection Structure,2022,2022,Region III,15.455914,120.544308
P00637061LZ,"Construction of Barbarsik Creek Flood Control, Buli, La Paz, Abra",ABRA,739 BUILDERS,48997500,2022-12-22,22PA0211,07/20/2022,Construction of Flood Mitigation Structure,2022,2022,Cordillera Administrative Region,17.683211,120.692986
P00824660LZ,"Construction of Flood Control Structure along Mitura River, Brgy. Calepaan, Asingan, Pangasinan",PANGASINAN,R.A. MATIAS CONSTRUCTION AND DEVELOPERS INC. (FORMERLY : R.A. MATIAS CONSTRUCTION AND DEVELOPERS),29354074.45,2024-05-24,24AI0060,02/26/2024,Construction of Dike,2024,2024,Region I,16.0059,120.6216
P00639319LZ,"Construction of Flood Control Structure, Barangay Isit, Dolores, Abra",ABRA,MG SAMIDAN CONSTRUCTION,94135771.11,2023-01-30,22PA0338,12/28/2022,Construction of Flood Mitigation Structure,2022,2022,Cordillera Administrative Region,17.646801,120.693388
P00824637LZ,"Construction of Flood Mitigating Structure (River Wall Protection Upstream and Downstream), Barangay San Pedro, Sarrat, Ilocos Norte",ILOCOS NORTE,BJMJB CONSTRUCTION & SUPPLY,4899952.42,2024-04-19,24AA0104,03/04/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,18.090289,120.621914
P00727307LZ,"Construction of Flood Control Structure, Gumain-Porac River at Lubao and Floridablanca, Pampanga",PAMPANGA,ARROW CONSTRUCTION / PENTAGON INDUSTRIAL DEVELOPMENT & CONSTRUCTION CO.,96493125.05,2024-01-09,23CH0079,06/14/2023,Construction of Flood Mitigation Structure,2023,2023,Region III,14.92731,120.54465
P00639414LZ,"Construction of Flood Control Structure at Barangay 18,17,14,13,10,9,8,7,3,2 Bacarra, Ilocos Norte",ILOCOS NORTE,REMIGIO GENERAL CONSTRUCTION,24499951.39,2022-12-28,22AA0142,04/04/2022,Construction of Flood Mitigation Structure,2022,2022,Region I,18.251423,120.621935
P00620976LZ,"Construction of Flood Control Structure along Lagasit River, Brgy. San Joaquin, Balungao, Pangasinan",PANGASINAN,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,39153721.46,2023-03-15,22AI0057,03/14/2022,Construction of Revetment,2022,2022,Region I,15.9339,120.6936
P00843206LZ,"Construction of Flood Mitigation Structure along Sinucalan River, Barangay Camantiles, Urdaneta, Pangasinan",PANGASINAN,SILVERWOLVES CONSTRUCTION CORPORATION,192999802.92,2024-11-11,24A00349,06/24/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,15.9895,120.5455
P00631252LZ,Construction of Drainage Canal along Arayat Magalang Mabalacat Road,PAMPANGA,NES-SAN BUILDERS,14680755.8,2022-08-20,22CI0089,03/24/2022,Construction of Drainage Structure,2022,2022,Region III,15.2369832953698,120.622297232538
P00820210LZ,"Construction of Flood Control Structure along Pulo-Kabalutan River, Orani, Bataan",BATAAN,PASCAL CONSTRUCTION,96499999.66,2024-11-22,24CA0037,04/22/2024,Construction of Flood Mitigation Structure,2024,2024,Region III,14.81694,120.5455
P00737410LZ,"Rehabilitation of Flood Control Structure at Bislak River, Brgy, San Roque II, Bacarra, Ilocos Norte",ILOCOS NORTE,BJMJB CONSTRUCTION & SUPPLY,4949034.71,2023-04-18,23AA0066,02/06/2023,Rehabilitation / Major Repair of Drainage Structure,2023,2023,Region I,18.247296,120.622469
P00621611LZ,"Construction of Flood Control Structure, Laoag River Basin and Sabo Flood Control Structure along Lading River, Barangay Caray, Sitio Lading 2, Nueva Era, Ilocos Norte",ILOCOS NORTE,DJCM CONSTRUCTION CORPORATION (FORMERLY: DJCM CONSTRUCTION),48999997.76,2022-10-13,22AB0099,03/25/2022,Construction of Flood Mitigation Structure,2022,2022,Region I,17.93979,120.69382
P00727135LZ,"Construction of Rerinforced Concrete Slope Protection with Steel Sheet Piles Foundation along Abacan River, Brgy. Capaya, Angeles City, Pampanga",PAMPANGA,"TOKWING CONSTRUCTION, CORP.(FOR;  TOKWING CONSTRUC",38075609.36,2023-06-27,23CI0035,03/06/2023,Construction of Slope Protection Structure,2023,2023,Region III,15.149748,120.623096
P00637021LZ,"Construction of Reinforced Concrete Slope Protection along Taug River, Angeles City, Pampanga Sta. 0+600 to Sta. 1+350 (L/D)",PAMPANGA,STRONGLANE BUILDERS AND TRADING CORPORATION (FORMERLY: STRONGLANE CONSTRUCTION & TRADING),70651739.38,2022-10-27,22CI0065,03/24/2022,Construction of Slope Protection Structure,2022,2022,Region III,15.1504010872337,120.546094894581
P00632778LZ,"Construction of Sabangan Flood Control, Buli, La Paz, Abra",ABRA,ST. TIMOTHY CONSTRUCTION CORPORATION,49497900,2022-10-19,22PA0084,03/28/2022,Construction of Flood Mitigation Structure,2022,2022,Cordillera Administrative Region,17.6802,120.694017
P00727129LZ,"Construction of Retaining Wall along Guagua River, San Pedro, Sasmuan, Pampanga",PAMPANGA,R.D. SADSAD CONSTRUCTION & TRADING,29393763.68,2023-06-19,23CH0020,03/20/2023,Construction of Flood Mitigation Structure,2023,2023,Region III,14.940176,120.623471
P00727306LZ,Flood Control Works - Pasig-Potrero River and San Fernando - Sto. Tomas - Minalin Taildike (San Fernando and Bacolor Section) Pampanga,LA UNION,A.D. GONZALES JR. CONSTRUCTION & TRADING CO. INC.,257255490,2024-06-05,23C00042,06/12/2023,Construction of Flood Mitigation Structure,2023,2023,Region III,14.990321,120.694276
P00631255LZ,"Construction of reinforced concrete slope protection with steel sheet piles foundation along Abacan river, Sapalibutad, Angeles city, Pampanga",PAMPANGA,THREE-IN-ONE CONSTRUCTION & TRADING,23900621.1,2022-09-11,22CI0095,03/24/2022,Construction of Slope Protection Structure,2022,2022,Region III,15.149584493363,120.623937489886
P00632806LZ,"Construction of Flood Control Project along Sapa Creek, Barangay Sapa, Samal, Bataan",BATAAN,M.C.J. VALENZUELA CONSTRUCTION ENTERPRISES,9799999.76,2022-10-27,22CA0052,05/04/2022,Construction of Flood Mitigation Structure,2022,2022,Region III,14.753828,120.546194
P00620790LZ,"Construction of Flood Control Structure along Totonoguen River, Brgy. Zone I, Rosales, Pangasinan",PANGASINAN,BET CONSTRUCTION & SUPPLY / AQUINO-DELA CRUZ ENGINEERING & CONSTRUCTION,48250000,2023-03-07,22A00077,03/22/2022,Construction of Flood Mitigation Structure,2022,2022,Region I,15.89195,120.624
P00637753LZ,"Construction of Flood Mitigation Structure along Vintar River (Bislak River), Brgy. Alsem, Sitio Di Tulang, Vintar, Ilocos Norte",ILOCOS NORTE,JCA CONSTRUCTION AND CONSTRUCTION SUPPLY / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),95039995.11,2022-08-31,22A00177,04/01/2022,Construction of Flood Mitigation Structure,2022,2022,Region I,18.273768,120.694613
P00631262LZ,"Construction of Slope Protection Structure along Taug River, Brgy. Anunas, Angeles City, Pampanga",PAMPANGA,N.M.D. CONSTRUCTION & TRADING,23742805.14,2022-07-29,22CI0007,02/08/2022,Construction of Slope Protection Structure,2022,2022,Region III,15.1505614073269,120.546518965538
P00726369LZ,"Construction of Flood Mitigation Structure along Totonogen River, Zone 4, Rosales, Pangasinan",PANGASINAN,AQUINO-DELA CRUZ ENGINEERING & CONSTRUCTION,33773706.21,2023-10-09,23A00157,04/24/2023,Construction of Flood Mitigation Structure,2023,2023,Region I,15.89195,120.624
P00726744LZ,"Construction of Slope Protection with Steel Sheet Pile Foundation along Rio Chico River Package G, Victoria, Tarlac",TARLAC,R.R. RICAFORT CONSTRUCTION AND SUPPLIES,47530899.36,2023-07-24,23CJ0026,01/30/2023,Construction of Flood Mitigation Structure,2023,2023,Region III,15.60874,120.695069
P00639374LZ,"Rehabilitation of Existing Dike along Lucung River, U/S of Santiago Bridge, Left Bank, Concepcion, Tarlac",TARLAC,11-16 CONSTRUCTION,95657621,2022-12-29,22CK0087,03/26/2022,Rehabilitation / Major Repair of Flood Control Structure,2022,2022,Region III,15.32921944,120.6240806
P00727289LZ,"Construction of Slope Protection with Steel Sheet Pile Foundation along Moriones River, Tibagan Section Package F, Tibagan, Tarlac City, Tarlac",TARLAC,R.R. RICAFORT CONSTRUCTION AND SUPPLIES,95524711.75,2023-07-21,23CJ0151,03/23/2023,Construction of Slope Protection Structure,2023,2023,Region III,15.46515,120.547742
P00846015LZ,"Construction of Bank Protection Structure along Cadaanan Creek (Segment B), Anao, Tarlac",TARLAC,T2B3 BUILDERS AND SUPPLIES CORP.,45000000,2025-05-14,24CJ0270,02/27/2024,Construction of Slope Protection Structure,2024,2024,Region III,15.715533,120.624098
P00621509LZ,"Construction of Balidbid Flood Control, Salcedo, Ilocos Sur",ILOCOS SUR,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,14699994.91,2022-09-16,22AD0098,04/04/2022,Construction of Flood Mitigation Structure,2022,2022,Region I,17.14583333,120.5477778
P00820700LZ,"Construction of Flood Mitigating Structure (River Wall Protection Upstream and Downstream), Barangay San Juan, Sarrat, Ilocos Norte",ILOCOS NORTE,BJMJB CONSTRUCTION & SUPPLY,6859904.93,2024-06-29,24AA0103,02/27/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,18.09197,120.624374
P00727076LZ,"Construction of Balidbid River Control, Barangay Balidbid, Salcedo, Ilocos Sur",ILOCOS SUR,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,29399996.02,2024-07-08,23AD0043,03/22/2023,Construction of Flood Mitigation Structure,2023,2023,Region I,17.14583333,120.5477778
P00726539LZ,Flood Control Works - Construction of Guagua Pasac River,PAMPANGA,NORTHERN BUILDERS,193000000,2023-11-28,23C00054,04/18/2023,Construction of Flood Mitigation Structure,2023,2023,Region III,14.91179467,120.6244169
